nohup: ignoring input
/home/asc23/lcy/gnn/TCS/layer.py:14: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  timestamps_tensors = [torch.tensor(timestamps).float() for timestamps in timestamps_list]
edge_index shape: torch.Size([2, 119670])
edge_attr shape: torch.Size([119670, 1])
successfully read graph
successfully split graph
begin to train
Epoch 1, Loss: 0.3248
Epoch 2, Loss: 0.1321
Epoch 3, Loss: 0.1471
Epoch 4, Loss: 0.5081
Epoch 5, Loss: 0.1471
Epoch 6, Loss: 0.0689
Epoch 7, Loss: 0.0745
Epoch 8, Loss: 0.0389
Epoch 9, Loss: 0.2891
Epoch 10, Loss: 0.2171
Epoch 11, Loss: 0.5104
Epoch 12, Loss: 0.1132
Epoch 13, Loss: 0.2593
Epoch 14, Loss: 0.2545
Epoch 15, Loss: 0.2000
Epoch 16, Loss: 0.1324
Epoch 17, Loss: 0.1534
Epoch 18, Loss: 0.0076
Epoch 19, Loss: 0.2171
Epoch 20, Loss: 0.2171
Epoch 21, Loss: 0.2617
Epoch 22, Loss: 0.1322
Epoch 23, Loss: 0.1349
Epoch 24, Loss: 0.2099
Epoch 25, Loss: 0.4405
Epoch 26, Loss: 0.2000
Epoch 27, Loss: 0.0109
Epoch 28, Loss: 0.1022
Epoch 29, Loss: 0.0089
Epoch 30, Loss: 0.1320
Epoch 31, Loss: 0.2625
Epoch 32, Loss: 0.2219
Epoch 33, Loss: 0.0840
Epoch 34, Loss: 0.0099
Epoch 35, Loss: 0.2243
Epoch 36, Loss: 0.2000
Epoch 37, Loss: 0.1471
Epoch 38, Loss: 0.1354
Epoch 39, Loss: 0.3208
Epoch 40, Loss: 0.1312
Epoch 41, Loss: 0.1117
Epoch 42, Loss: 0.2591
Epoch 43, Loss: 0.5098
Epoch 44, Loss: 0.3207
Epoch 45, Loss: 0.0906
Epoch 46, Loss: 0.1471
Epoch 47, Loss: 0.0860
Epoch 48, Loss: 0.2099
Epoch 49, Loss: 0.1907
社区的时间割 TC(S): 0.0000
社区的时间密度 TD(S): 0.0000
社区节点数: 0, 邻居节点数: 198, 社区节点占比: 0.00%
Epoch 50, Loss: 0.1471
Epoch 1, Loss: 0.5089
Epoch 2, Loss: 0.5109
Epoch 3, Loss: 0.5069
Epoch 4, Loss: 0.1713
Epoch 5, Loss: 0.3480
Epoch 6, Loss: 0.2647
Epoch 7, Loss: 0.2607
Epoch 8, Loss: 0.3009
Epoch 9, Loss: 0.3002
Epoch 10, Loss: 0.2519
Epoch 11, Loss: 0.3829
Epoch 12, Loss: 0.2068
Epoch 13, Loss: 0.2068
Epoch 14, Loss: 0.0599
Epoch 15, Loss: 0.3480
Epoch 16, Loss: 0.0905
Epoch 17, Loss: 0.4276
Epoch 18, Loss: 0.3383
Epoch 19, Loss: 0.0072
Epoch 20, Loss: 0.1412
Epoch 21, Loss: 0.3063
Epoch 22, Loss: 0.4236
Epoch 23, Loss: 0.1412
Epoch 24, Loss: 0.3220
Epoch 25, Loss: 0.0903
Epoch 26, Loss: 0.5112
Epoch 27, Loss: 0.2567
Epoch 28, Loss: 0.1368
Epoch 29, Loss: 0.5064
Epoch 30, Loss: 0.0072
Epoch 31, Loss: 0.0599
Epoch 32, Loss: 0.2519
Epoch 33, Loss: 0.5052
Epoch 34, Loss: 0.0091
Epoch 35, Loss: 0.5090
Epoch 36, Loss: 0.5071
Epoch 37, Loss: 0.1412
Epoch 38, Loss: 0.3429
Epoch 39, Loss: 0.5095
Epoch 40, Loss: 0.0060
Epoch 41, Loss: 0.0072
Epoch 42, Loss: 0.1451
Epoch 43, Loss: 0.5102
Epoch 44, Loss: 0.1548
Epoch 45, Loss: 0.2593
Epoch 46, Loss: 0.0599
Epoch 47, Loss: 0.0091
Epoch 48, Loss: 0.4443
Epoch 49, Loss: 0.2519
社区的时间割 TC(S): 0.6855
社区的时间密度 TD(S): 0.0444
社区节点数: 10, 邻居节点数: 10, 社区节点占比: 3.19%
Epoch 50, Loss: 0.4046
Epoch 1, Loss: 0.0115
Epoch 2, Loss: 0.0127
Epoch 3, Loss: 0.2864
Epoch 4, Loss: 0.5070
Epoch 5, Loss: 0.0114
Epoch 6, Loss: 0.2599
Epoch 7, Loss: 0.2318
Epoch 8, Loss: 0.0114
Epoch 9, Loss: 0.1957
Epoch 10, Loss: 0.2314
Epoch 11, Loss: 0.0114
Epoch 12, Loss: 0.0099
Epoch 13, Loss: 0.2079
Epoch 14, Loss: 0.0128
Epoch 15, Loss: 0.0115
Epoch 16, Loss: 0.2583
Epoch 17, Loss: 0.0114
Epoch 18, Loss: 0.2507
Epoch 19, Loss: 0.2864
Epoch 20, Loss: 0.2318
Epoch 21, Loss: 0.0114
Epoch 22, Loss: 0.5077
Epoch 23, Loss: 0.2622
Epoch 24, Loss: 0.0053
Epoch 25, Loss: 0.5083
Epoch 26, Loss: 0.0060
Epoch 27, Loss: 0.2314
Epoch 28, Loss: 0.0114
Epoch 29, Loss: 0.2134
Epoch 30, Loss: 0.2585
Epoch 31, Loss: 0.0120
Epoch 32, Loss: 0.2314
Epoch 33, Loss: 0.2507
Epoch 34, Loss: 0.2350
Epoch 35, Loss: 0.0092
Epoch 36, Loss: 0.0114
Epoch 37, Loss: 0.0114
Epoch 38, Loss: 0.2079
Epoch 39, Loss: 0.0074
Epoch 40, Loss: 0.0082
Epoch 41, Loss: 0.5093
Epoch 42, Loss: 0.0106
Epoch 43, Loss: 0.2583
Epoch 44, Loss: 0.1957
Epoch 45, Loss: 0.0114
Epoch 46, Loss: 0.2578
Epoch 47, Loss: 0.0106
Epoch 48, Loss: 0.2350
Epoch 49, Loss: 0.0114
社区的时间割 TC(S): 0.6842
社区的时间密度 TD(S): 2.0000
